subject,date,run,block,stimulus,nStim,stimID,noise,threshold,slope
jm,05/12/2024,,,texture,1,5,variable,0.0007,
jm,05/12/2024,,,texture,1,4,variable,0.002301,
jm,05/12/2024,,,texture,1,1,variable,0.000336,
jm,05/12/2024,,,texture,5,0,variable,0.001192,
jm,05/12/2024,,,texture,5,0,variable,0.000962,
jm,05/12/2024,,,texture,5,0,variable,0.000545,
kf,05/12/2024,,,grating,1,4,fixed,0.000282,
kf,05/12/2024,,,grating,1,2,fixed,0.000434,
kf,05/12/2024,,,grating,1,5,fixed,0.001691,
kf,05/12/2024,,,grating,5,0,fixed,0.000344,
kf,05/12/2024,,,grating,5,0,fixed,0.000327,
kf,05/12/2024,,,grating,5,0,fixed,0.000311,
kf,05/12/2024,,,texture,1,4,fixed,0.00042,
kf,05/12/2024,,,texture,1,5,fixed,0.000296,
kf,05/12/2024,,,texture,1,2,fixed,0.00029,
kf,05/12/2024,,,texture,5,0,fixed,0.000344,
kf,05/12/2024,,,texture,5,0,fixed,0.000681,
kf,05/12/2024,,,texture,5,0,fixed,0.000383,
eh,13/01/2025,1,1,grating,5,3,variable,0.00054665,3.46
eh,13/01/2025,1,2,grating,1,3,variable,0.00132989,4.52
eh,13/01/2025,1,3,texture,5,4,variable,0.00117692,1.54
eh,13/01/2025,1,4,texture,1,3,variable,0.00123845,1.56
